index;noi_dung_binh_luan;noi_dung_binh_luan_dung_chinh_ta
11176;mùi dễ chịu, làm sạch tốt, chỉ rửa sạch bụi bẩn và mụn đầu đen thôi chứ mụn ẩn vẫn còn nha. hạt cứng và không tan nên có thể làm trầy da nếu chà xát mạnh. mình thấy loại này chỉ nên dùng 1-2 lần mỗi tuần chứ dùng thường xuyên hơi hại da mặt, da có mụn nhiều hoặc mụn viêm thì không nên dùng.;mùi dễ chịu, làm sạch tốt, chỉ rửa sạch bụi bẩn và mụn
11180;nâng tone da rất đẹp và tự nhiên, chất kem như sữa dễ tán k vón, thấm nhanh k bết dính, da khô xài đã lắm! rất ưng bụng nha;Nâng tone da rất đẹp và tự nhiên, chất kem như sữa dễ tán,
11183;dùng ổn nhưng có điểm không ổn định, không hài lòng lắm.;dùng ổn nhưng có điểm không ổn định, không hài lòng lắm.
11186;kem dinh that thoa vo la mat;Kem dinh that thoa vo la mat.
11187;xài rất thích , đúng như mô tả . dùng hết sẽ mua lại em này .mình da dầu xài rất ok .;xài rất thích , đúng như mô tả . dùng hết sẽ mua
11189;tẩy tế bào chết dùng okie trên da mình. dùng xong da sạch và khá êm.;tẩy tế bào chết dùng okie trên da mình. dùng xong da sạch và khá
11191;mình mua cho mẹ mình xài, xài đc 2 tuần thấy đã trắng, căng mướt hẳn, giá hssv, đáng để mua, ai cũng hỏi mẹ mình xài sp gì mà thấy đã thấy đổi hẳn;Mình mua cho mẹ mình xài, xài được 2 tuần thấy đã
11192;rất tuyệt nha;rất tuyệt nha.
11193;thích con này vì da mình siêu dầu, dán cả ngày mà k thấy bong, mấy loại khác nó sau 2 tiếng nó muốn rớt đến nơi. xài ngon, gom cồi phê;thích con này vì da mình siêu dầu, dán cả ngày mà k thấy bong
11196;bông tẩy trang này mền mịn lại còn rẻ mn nên mua xài nhe;Bông tẩy trang này mềm, mịn lại còn rẻ, bạn nên mua xà
11197;xài tốt, môi hồng màu tự nhiên, dưỡng ẩm đủ, thơm nhẹ, sẽ mua tiếp;Xài tốt, môi hồng màu tự nhiên, dưỡng ẩm đủ,
11204;thấm nhanh, mịn da, ngủ dậy cảm giác khô ráo, ko bị đổ dầu.;thấm nhanh, mịn da, ngủ dậy cảm giác khô ráo, ko bị đổ
11208;dùng rất ok cá nhân m sử dụng không bị khô ra rửa x rất dễ chịu sp nay k có mùi ai dị ứng bạc hà thì né còn m thì ko thấy rửa cở 2 ngay la mụn đỏ dịu liền;Dùng rất ok, cá nhân em sử dụng không bị khô ra, rửa xà
11210;mình sd mới 2 ngày nhưng đã gom các cồi mụn trên mặt rõ ràng.. mong hasaki bán thêm klenzit ms để mua chung cho tiện ❤;Mình sd mới 2 ngày nhưng đã gom các cồi mụn trên mặt rõ
11220;thích loại ban đêm hơn ban ngày, kết cấu dạng gel nên dễ thấm vào da hơn, mùi thơm dễ chịu, cấp ẩm tốt;Thích loại ban đêm hơn ban ngày, kết cấu dạng gel nên dễ thấm vào da
11234;ê không biết lúc đầu tưởng cái xanh dương này là xài ban đêm ba:))))) nhma tui thấy dưỡng ẩm ổn lắm nha còn hồng môi thì tui phải xài gần 2/3 tuýp mới thấy có hiệu quả sương sương. giá rẻ xài cũng lâu hơn tui nghĩ, 5 tháng r mà còn 1/3 tuýp;À, không biết lúc đầu tưởng cái xanh dương này là xài ban đêm
11258;mỏng, nhẹ, nâng tông, ko bết rít, ko chê vào đâu dc;mỏng, nhẹ, nâng tông, ko bết rít, ko chê vào
11260;mình ở long khánh đồng nai, giao trong 3,5 ngày là nhận được. hộp đựng ngoài hơi móp xíu, chắc đơn vị vận chuyển hơi mạnh tay với em nó. bên trong được quấn túi hơi rất kỹ, gỡ lớp băng keo xong cũng mệt xỉu luôn. ngay cả miếng mặt nạ tặng kèm cũng quấn túi hơi. cảm thấy hashaki đóng gói hàng ưng ý. chất lượng thì không bàn cãi. 5 sao cho khâu đóng gói và chăm sóc khách hàng.;mình ở long khánh đồng nai, giao trong 3,5 ngày là nhận được.
11274;bông tốt, mịn, không bị bung rách;Bông tốt, mịn, không bị bung rách.
11275;sản phẩm tốt, hiệu quả cho da dầu bị mụn, mụn viêm hay mụn ẩn gì đều trị khỏi mình cũng không còn tự ti vùng da dầu chữ t mỗi khi ra ngoài nữa. sẽ tiếp tục ủng hộ;Sản phẩm tốt, hiệu quả cho da dầu, bị mụn, mụn viêm hay mụn
11277;sản phẩm rất tốt với giá tiền. giảm mụn, sáng da, sạch nhờn. đã dùng và cảm thấy rất thích, sẽ mua lại lần sau.;sản phẩm rất tốt với giá tiền. giảm mụn, sáng da, sạch nhờn
11278;đặt hôm trước hôm sau có hàng liền. sài êm lắm nha, mát mịn, hông kích ứng. sài hè này hợp lý lắm. 10 điểm;Đặt hôm trước hôm sau có hàng liền. sài êm lắm nha,
11279;mua peel dc tặng dùg thấy loại này mấy bạn nên chấm lên r vỗ chứ đừng xoa tròn sẽ bị bệch trắg. nhưng sau khi thấm thì da khá ráo. thấy review se khít lcl tốt hi vọng sẽ hiệu quả;Mua peel DC tặng, dùng thấy loại này mấy bạn nên chấm lên rồi v
11283;srm sạch xài rất hieu qa;Spam sạch xài rất hiệu quả.
11287;lần sau mih sẽ mua;Lần sau mình sẽ mua.
11292;mình dùng dòng bio đã hơn 5 năm. tinh chất này ko làm mình thất vọng. trên cả tuyệt vời! da mịn và thẩm thấu nhanh! hôm qua mới lấy thêm 1 em tinh chất nữa. 5 sao ạ!;mình dùng dòng bio đã hơn 5 năm. tinh chất này ko làm mình thất vọng
11300;kết cấu của em này là dạng gel bôi lên rất mát da, có mùi nhẹ nhưng không phải mùo thơm đâu ạ. matxa đều thì sẽ thấy lớp da chết xuất hiện, mình biết là bản thân sản phẩm có đặc tính tạo ra các mảng chết đó nhưng mình thấy sử dụng xong sạch và mịn da hơn;Kết cấu của em này là dạng gel bôi lên rất mát da, có mùi
11304;tẩy trang rất tốt. đã sử dụng nhiều chai này.;tẩy trang rất tốt. đã sử dụng nhiều chai này.
11310;da mềm mịn và sáng hơn;Da mềm, mịn và sáng hơn.
11313;da có mụn ẩn nên dùng chai này, rất tốt đỡ mụn hẳn;Da có mụn ẩn nên dùng chai này, rất tốt, đỡ mụn
11316;da m là da dầu, sài được 1 tháng thấy mụn lên quá trời, chắc k hợp hoặc bị kích ứng bởi cồn;Da em là da dầu, sài được 1 tháng thấy mụn lên quá trời
11318;bha các bạn nên dùng cho vùng chữ t. nơi tiết dầu nhiều. còn những vùng khác nên sài aha. nên toner trước khi dùng nha.;bha các bạn nên dùng cho vùng chữ t. nơi tiết dầu nhiều. còn những
11319;da mình hỗn hợp khô và tiết dầu, dễ mụn. dùng kcn này á ổn, êm, nâng tông nhẹ. okie nhen.;da mình hỗn hợp khô và tiết dầu, dễ mụn. dùng kem này á
11321;mặt nạ ok lắm nha. ôm sát mặt. cấp ẩm đỉnh. mịn mướt;Mặt nạ ok lắm nha. Ôm sát mặt. Cấp ẩm
11327;kem chống nắng siêu đỉnh mn ơi, tiếc là không biết em này sớm hơn. mình là da hh thiên dầu, cũng đang treatment nên phải kiếm dòng nào chống nắng mạnh để dùng. trước mình sài laroche posay, nhưng loại này không nâng tone da mà còn bị xuống tone nữa. đi mua thì được tư vấn em này. dùng không bị bí da hay bết dính, kiềm dầu tốt, nâng tone và mỏng nhẹ, đáng mua nhé.;kem chống nắng siêu đỉnh mn ơi, tiếc là không biết em này sớm hơn
11331;tốt lắm nha dùng chai thứ n ^^;tốt lắm nha, dùng chai thứ n.
11342;nước tẩy trang sạch, k bị kích ứng, ban đầu mùi hơi khó chịu tí;Nước tẩy trang sạch, không bị kích ứng, ban đầu mùi hơi khó chịu tí
11343;không bị xơ bông, dùng rất là ổn luôn;Không bị xơ bông, dùng rất là ổn luôn.
11356;sản phẩm ổn;Sản phẩm ổn.
11362;sản phẩm dùng cũng tạm ổn, mình dùng xong cũng đỡ mụn nhiều. nhưng mà không cải thiện được mụn đầu đen.;sản phẩm dùng cũng tạm ổn, mình dùng xong cũng đỡ mụn nhiều. nhưng mà
11367;mình xài loại này với loại màu xanh mua ở hasaki rồi. gần như k tác dụng j luôn. mụn lên đầu hơi trắng rồi vẫn k lấy đc nhân mụn ra mà lúc đã lấy ra rồi mình dán lên cũng k có tác dụng hút hết phần còn sót lại nữa.;Mình xài loại này với loại màu xanh mua ởki rồi. gần
11373;taayr da chết cho body và mặt đều rất ổn thơm;tẩy da chết cho body và mặt đều rất ổn, thơm.
11374;đang xài em này theo chỉ dẫn của bsi, khô ráo, nâng tone nhẹ, nói chung oke lắm, thoáng da nữa. có điều hơi đau ví thôi tại em này có 40ml;Đang xài em này theo chỉ dẫn của BS, khô ráo, nâng
11380;siêu to luôn ấy. dùng cho da body oki luôn. da mình khô mùa đông dùng em này đúng thích. buổi tối da mướt hẳn. tiếc là mua muộn quá. dùng hũ này không biết bao giờ mới hết;Siêu to luôn ấy. Dùng cho da body ok luôn. Da mình khô mùa
11389;mua lúc đang sale giá còn 313k, tìm mãi mới có e kem dưỡng hợp, nhẹ mặt cực kì, nhưng vào mùa lạnh hay những bạn da kho quá nên dùng thêm kem dưỡng ẩm khác nứaex dưỡng ẩm tốt hơn;Mua lúc đang sale, giá còn 313k, tìm mãi mới có
11408;nâng tone rất đẹp, khá ẩm hợp cả da khô lẫn dầu, bôi từng lớp thì sẽ thấm rất tốt nhưng cứ đổ mồ hôi tí là chảy đi hết;Nâng tone rất đẹp, khá ẩm, hợp cả da khô lẫn dầu
11415;da dầu không mụn xài êm nha, t con trai nên chỉ cần 1 chai deep wash này thoi là đủ;Da dầu không mụn, xài êm nha, ít con trai nên chỉ
11420;đóng gói hàng cẩn thận 5*;đóng gói hàng cẩn thận 5*.
11421;sản phẩm ban ngày dùng lên tạo thành các cợm trắng đầy mặt. kiểu kem k thẩm thấu được vào da.;Sản phẩm ban ngày dùng lên tạo thành các cợm trắng đầy mặt. kiểu
11422;ngồi văn phòng suốt ngày làm da mình hay bị khô.nên cũng được chị em trong công ty giới thiệu xài xịt khoáng này thử,khá hài lòng. giá cả hợp lí. da hết khô và tươi khỏe lên luôn;Ngồi văn phòng suốt ngày làm da mình hay bị khô.., nên cũng
11426;đã hết mụn sau 2 tháng sử dụng toner + serum some by mi 30 days kết hợp đi lấy mụn. da mình có mụn ẩn và viêm sưng;Đã hết mụn sau 2 tháng sử dụng toner - serum some by my 30 days
11427;đỉnh nha trời, mềm mịn, mướt trên da, ko rát;Đỉnh nhà trời, mềm mịn, mướt trên da, ko rát
11439;da mềm mịn, có vẻ sáng hơn;Da mềm mịn, có vẻ sáng hơn.
11454;các bạn bị mụn viêm nên xài e mặt nạ tràm trà này, đắp tối hôm trước sáng hôm sau mụn xẹp hẳn, ko còn đau nhức, tuyệt vời ❤️;Các bạn bị mụn viêm nên xài kem mặt nạ tràm trà này,
11457;củng ổn cho da dầu;Cũng ổn cho da dầu.
11471;sp quá tốt trong việc giảm thâm môi;SPF quá tốt trong việc giảm thâm môi.
11472;dùng khá thích, da mình thuộc tuýp da dầu mụn nhưng sản phẩm này cấp ẩm vừa đủ với mình mà bảng thành phần khá okela;Dùng khá thích, da mình thuộc tuýp da dầu mụn nhưng sản phẩm này
11477;fafadff;Fabio Capello.
11478;dùng xong thì thấy sắc da rạng rỡ hơn hẳn vì không còn tấy đỏ, lỡ chân lông thì được thu nhỏ. sẽ ủng hộ lâu dài.;dùng xong thì thấy sắc da rạng rỡ hơn hẳn vì không còn tấ
11479;mua có chai sửa rửa mặt mà đóng gói chuyên nghiệp quá hahaa. chai deep wash này xài thấy mát và giảm nhờn tốt và không bị kích ứng da sau 1 thời gian;Mua có chai sửa rửa mặt mà đóng gói chuyên nghiệp quá ha ha. Cha
11480;serum phải gọi là thẩm thấu nhanh, hiệu quả, và mờ thâm tốt, mình dùng trọn bộ rất ok, cảm ơn bạn nv;Serum phải gọi là thẩm thấu nhanh, hiệu quả, và mờ thâm
11483;mẹ mình xài thích lắm;Mẹ mình xài thích lắm.
11485;mặt nạ siêu nhiều tinh chất, đắp xong 15p da sáng hơn , ẩn mịn, nhân viên tư vấn ở cửa hàng nhiệt tình, 5 sao;Mặt nạ siêu nhiều tinh chất, đắp xong 15p da sáng hơn ,
11493;dùng không biết bal nhiêu bịch rồi, thiệt sự dán đỉnh nhất trong các loại mình dùng;Dùng không biết bao nhiêu bịch rồi, thiệt sự, dán đỉnh nhất trong các
11495;da hỗn hợp dầu không nhạy cảm ít mụn nên thử dùng khá tốt đấy da mặt mình sạch mụn hơn hẳn sau khi dùng mụn ẩn dưới cổ đk xử lí hoàn toàn;Da hỗn hợp dầu không nhạy cảm, ít mụn nên thử dùng khá tốt đấy
11497;lần sau mình sẽ mua lại nữa nhé;Lần sau mình sẽ mua lại nữa nhé!.
11502;cảm nhận đầu tiên là mùi thơm dễ chịu, hạt nhỏ nên khi tẩy không gây đau rát. mình da nhạy cảm nên 1 tuần chỉ dám tẩy 2 lần thôi;Cảm nhận đầu tiên là mùi thơm dễ chịu, hạt nhỏ nên khi tẩy không gây
11513;đóng gói cẩn thật, k chê điểm gì;Đóng gói cẩn thật, K. chê điểm gì?
11514;đã dùng thử, k bị khô căng sau khi rửa, da tui nhạy cảm dùng k bị kích ứng kết cấu đặc nên dùng lưới tạo bọt vẫn tốt hơn;Đã dùng thử, k bị khô căng sau khi rửa, da tui nhạy cảm,
11515;kiềm dầu cực tốt, mùi thơm nhẹ, chất đặc hơn mấy kcn dạng milk khác, finish lì đẹp. đáng mua nha;Kiềm dầu cực tốt, mùi thơm nhẹ, chất đặc hơn mấy kem dạng milk
11516;đóng gói giao hàng chưa kĩ, sp oke;đóng gói, giao hàng chưa kĩ, sp out.
11518;nó mỏng còn hơn cái miếng thịt cô bán hủ tiếu gõ thái nữa, mỏng lét, kiểu ai mà chỉ có 1-2 nốt mụn thôi thì nên thử nha, che tốt mà tiệp mặt thật sự;Nó mỏng còn hơn cái miếng thịt cô bán hủ tiếu gõ thái nữa
11520;serum xài tốt, giá hạt dẻ. da dầu dùng ko bị lên mụn, thật mừng vì tìm dc chiết serum hợp với tôi.;serum xài tốt, giá hạt dẻ. da dầu dùng ko bị
11529;đã dùng hết 2 lọ vì độ lành tính của serum;đã dùng hết 2 lọ vì độ lành tính của serum.
11530;tinh chất mỏng nhẹ, thấm nhanh, đắp xong ráo mặt, cũng khá ổn. tùy nhiên điểm trừ là chất mặt nạ mỏng quá ấy, mình đã cẩn thận hết sức nhưng vẫn bị rách=)));Tinh chất mỏng nhẹ, thấm nhanh, đắp xong ráo mặt, cũng khá ổn
11536;b5 này ngon hơn goodndoc các bạn nên thử mình ₫ã dùng 2 loại rồi nên mới dám nhận xét như vậy các bạn nên thử;B5 này ngon hơn gooddon, các bạn nên thử, mình đã dùng 2
11538;srm khá tốt, tạo bọt nhiều và rửa mặt sạch. mình thấy em nó đáp ứng được nhu cầu của mình về một tuýp srm, tuy nhiên điểm trừ duy nhất và cũng khiến mình không thích là về mùi hương, mình không kén mùi lắm, dùng qua nhiều sản phẩm bị chê về mùi rồi nhưng mình thấy vẫn bình thường, vậy mà em này làm mình hết hồn. nó nồn nồn giống như mùi uế ấy. ai kĩ tính về mùi hương thì nên cân nhắc nha. còn lại thì quá tốt rùi.;srm khá tốt, tạo bọt nhiều và rửa mặt sạch. mình thấy
11540;sang;sang.
11541;da mình nhạy cảm ban đầu dùng thấy châm chít mình cũng một lúc sau quen r , dùng thích cực , ai da nhạy cảm nên dùng thử;Da mình nhạy cảm, ban đầu dùng thấy châm chít mình cũng một lúc
11556;dùng tốt lắm;Dùng tốt lắm.
11561;xịn lắm nha thơm, tẩy tế bào chết ok xài mấy lần mà môi mềm;Xịn lắm nha, thơm, tẩy tế bào chết ok, xài
11562;có một số lỗi nhỏ, không hài lòng lắm.;có một số lỗi nhỏ, không hài lòng lắm.
11565;châm mụn đỉnh thật nha, hai tuần cải thiện mụn rõ rệt.;châm mụn đỉnh thật nha, hai tuần cải thiện mụn rõ rệt.
11569;giao hàng nhanh , sản phẩm oki;Giao hàng nhanh , sản phẩm mới , giá rẻ.
11571;sản phẩm rất ok, nên dùng cả combo;Sản phẩm rất ok, nên dùng cả combo.
11576;tẩy da chết cho body và măt đều rất ổn và thơm;Tẩy da chết cho body và mặt đều rất ổn và thơm.
11580;thực sự là mình ko thích loại này lắm, da mình dầu mụn, thấy dùng da thâm xỉn mà lại mụn thâm hơn;Thực sự là mình ko thích loại này lắm, da mình dầu mụn, thấy dùng
11582;gel dễ thấm ko bí da, mịn da , ko cay mắt,nhiều dùng hàng ngày khá oke la;Gel dễ thấm, ko bí da, mịn da, ko cay mắt, nhiều
11587;rửa mặt sạch, nhẹ, không khô, hợp với da mụn, giao hàng nhanh, đóng gói khá cẩn thận. sẽ ủng hộ lâu dài.;rửa mặt sạch, nhẹ, không khô, hợp với da mụn, giao hàng nhanh
11589;kem đỉnh thật. thoa vô là mát;Kem đỉnh thật.., thoa vô là mát.
11596;minh mua dùng thử nhưng ko hợp còn toner + serum bí đau ai lấy inbox mình nha 0931793958;Mình mua dùng thử nhưng ko hợp, còn toner - serum bí đau ai lấy
11601;dính rất chắc lột mụn ổn;dính rất chắc, lột mụn ổn.
11603;nước tẩy trang tốt, có bọt nhưng k hề rít, ngứa, mùi thoang thoảng dễ chịu. da mình khô cực nhạy cảm dễ mụn mà dùng em này vẫn êm. tẩy trang sạch sâu nhưng k gây căng da, chỉ có điều là hơi hao nhé, vì miếng bông mau khô nên phải lau nhanh tay. mình mua đợt sale cách đây 2 tuần được giá 279k tặng khăn mặt nhưng k sài, mình thíc btt hơn, ai mún đổi thì lh nha;Nước tẩy trang tốt, có bọt nhưng không hề rít, ngứ
11611;chất lượng không tốt, không khuyên bất kỳ ai mua.;chất lượng không tốt, không khuyên bất kỳ ai mua.
11612;sản phẩm lên da và khô khá nhanh, nhưng lại tạo ra 1 độ bóng ( chấp nhận được ) , lâu trôi, ít bị bết.;Sản phẩm lên da và khô khá nhanh, nhưng lại tạo ra 1 độ bóng (
11619;kem mắt sài oke lắm nheeee mình mua về sài đỡ nhăn hẳn với lại chịu khó massagebl xí là oke;Kem mắt sài oke lắm, nhà mình mua về sài đỡ
11628;đắp xong cái da nó trắng liền luôn, kiểu hú hồn. mình thấy ai cần trắng cấp tốc, mà con gái hay đi tiệc đồ á, cứ auto đắp mặt nạ này của surmedic, nó ko có bị kích ứng nữa, nên khá ấn tượng với mặt nạ này;Đắp xong cái da nó trắng liền luôn, kiểu hú hồn. Mình thấy
11632;sản phẩm tạo bọt rất nhiều và sau khi dùng vẫn khô da nhẹ, chỉ đỡ hơn được các loại sửa rửa mặt cho nam mà thôi;Sản phẩm tạo bọt rất nhiều và sau khi dùng vẫn khô da nhẹ,
11643;kem chống nắng phải gọi là quá đỉnh đặc biệt là siêu hợp cho da dầu ,hhtd. mình da hhtd bôi từ 9h sáng tới 10h tối mới về nhà mà mặt nó nhẹ tênh ,mịn lì như đánh phấn,kcn ko nắng tông trông rất tự nhiên, ko gây mụn đối với da mình.bôi từ sáng đến cuối ngày da còn cảm thấy hơi căng nhẹ ko đổ dầu tí nào (nếu trong phòng máy lạnh ), nếu làm việc ngoài trời nhiều thì kiềm dầu được 5-6 tiếng da chỉ đổ dầu rất nhẹ ở vùng chữ t thôi 10/10 chắc ko dám đổi kem chống nắng khác luôn quá;Kem chống nắng phải gọi là quá đỉnh, đặc biệt là siêu hợp cho da dầu
11647;dùng rất ok❤️;Dùng rất ok,.
11648;sản phẩm này rất thích hợp cho da dầu, kiểm soát dầu và chống nắng cực tốt, mình đã sử dụng và e nó sẽ đồng hành cùng mình ❤️❤️;Sản phẩm này rất thích hợp cho da dầu, kiểm soát dầu và chống nắng cực
11653;thấy sài ổn mà hiệu quả cũng nhanh nên mua tiếp;Thấy sài ổn mà hiệu quả cũng nhanh nên mua tiếp.
11660;khá là tiết kiệm , nhiều bọt,k tốn như dùng cetaphil,nhưng mùi hơi k thích lắm;Khả năng tiết kiệm , nhiều bọt, tốn như dùng ce
11669;mới dùng 1 bông mà đã rát mặt rồi;Mới dùng 1 bông mà đã rát mặt rồi.
11684;khi nào thì có sản phẩm ạ đợi cũng 6 ngày rùi :((;Khi nào thì có sản phẩm ạ, đợi cũng 6 ngày rồi(?!).
11686;kem sài mỏng nhẹ ko gây kích ứng da, cấp ẩm bóng mịn nha;Kem sài mỏng nhẹ, ko gây kích ứng da, cấp ẩm
11697;mình xài hết 1 hũ rồi. theo cá nhân mình thì không cả thiện gì nhiều, mặt mình vẫn bị thâm,;Mình xài hết 1 hũ rồi. Theo cá nhân mình thì không cải
11700;bạn nào cho mình xin quy trình sử dụng cho da dầu mụn thâm đen với ạ;Bạn nào cho mình xin quy trình sử dụng cho da dầu mụn thâm đen với ạ
11708;mua sài thử bịt nhỏ thấy sợi bã nhờn, đầu đen nhỏ trên mũi sài 1 lần giảm hẳn luôn, nên quay lại mua lần nữa hủ bự và review cho ai đang cần;Mua sài thử, bịt nhỏ thấy sợi bã nhờn,
11712;sản phẩm rất ok ạ;Sản phẩm rất ok ạ!
11715;thích nhất em này, dùng mà đỡ mụn sưng viên rất nhiều luôn á. mùi thơm mà khoái cực. chấm 100/10;Thích nhất em này, dùng mà đỡ mụn sưng viên rất nhiều luôn á.
11718;mình đã sẵn tinh thần trước khi mua vì nghe đồn nó đẩy mụn te tua. nhưng sau 3 ngày xài tức là 6 lần rửa mình thấy e này khá là thích. ko đẩy kinh khủng như mọi người nói. tuy là da mình mụn nhiều nhưng xài e này khá là ok có lẽ do những bạn khác mua trên shoppe bị hàng fake nên mới có tình trạng đó;Mình đã sẵn tinh thần trước khi mua vì nghe đồn nó đẩy mụn te tua
11727;lúc nào cũng có sẵn 1 chai dự phòng!! sài êm mình sài lâu r mỏng nhẹ nma k phù hợp ai đang skincare nặng đô mình mình có ra nắng chỉ vào buổi sáng sớm và sẽ ở trong môi trường làm vc ít tiếp xúc anh nắng nên sài e này ok;Lúc nào cũng có sẵn 1 chai dự phòng!! sài êm,
11730;mình khá thích sữa rửa mặt dạng gel, loại này còn hợp với da dầu mụn của mình nữa. dùng sáng tối giúp làm sạch dịu nhẹ, da cũng tươi tắn hơn.;Mình khá thích sữa rửa mặt dạng gel, loại này còn hợp với da dầu mụn
11732;sử dụng raats hiệu quả sp rất tốt luon;sử dụng rau sạch hiệu quả sẽ rất tốt luon.
11741;mới dùng lần đầu thấy cũng ổn, toner dạng đặt nên rất tiết kiệm;Mới dùng lần đầu thấy cũng ổn, toner dạng đặt nên rất tiết kiệm.
11742;trời ơi chân ái của mình, giảm sưng mụn rất tốt luôn, sáng ngủ dậy da giảm tiết dầu hẳn. mình xài 1 thời gian thì thấy lỗ chân lông dường như nhỏ lại ấy;Trời ơi chân ái của mình, giảm sưng mụn rất tốt luôn, sáng
11743;dưỡng ẩm phục hồi siêu tốt nha. mình treatment da, dùng timeless b5 với kem lô hội này, mặt mướt hẳn. êm lắm;dưỡng ẩm, phục hồi siêu tốt nha. Mình treatment da, dùng time
11744;trời ơi là trời!!!!!! xài xong cái mask real vitamin c. mặt tone sáng dữ dội;Trời ơi là trời!, xài xong cái mask real vitamin C.
11745;mình đã dùng tới lọ thứ 2 rồi, mình dùng dạng sữa màu xanh mint ấy. ấn tượng đầu tiên của mình là em này kiềm dầu hơi bị ổn áp nha. da mình là da hỗn hợp thiên dầu có khá nhiều mụn nhưng xài vẫn rất ổn, không bị kích ứng, lên thêm mụn hay là bóng dầu đâu nè. còn phần lên tone thì chỉ lên tone nhẹ khoảng 30 phút đầu thôi, về sau thì tệp vào màu da bình thường rồi. nói chung ai da dầu thì nên xài thử, đúng kiểu ngon bổ rẻ luôn.;mình đã dùng tới lọ thứ 2 rồi, mình dùng dạng sữa màu xanh mint
11756;sản phẩm tốt, giá cả phải chăng, rất phù hợp cho da khô và nhạy cảm.;sản phẩm tốt, giá cả phải chăng, rất phù hợp cho da khô và nhạy
11758;mình dùng thử rồi mn ạ. tẩy da chết cho body và mặt đều rất ổn thơm và dùng rất thích nhưng hạt khá to;Mình dùng thử rồi bạn ạ. Tẩy da chết cho body và mặt đều
11771;bắt đầu từ lúc sử dụng tẩy trang caryophy mình thấy mụn đầu đen giảm hẳn, mùi hơi nồng một xíu thôi;Bắt đầu từ lúc sử dụng tẩy trang Caryophy mình thấy mụn đầu
11772;đỉnh của chóp. mua lại lun và ngay;Đỉnh của chóp. Mua lại luôn và ngay.
11775;sản phẩm giúp làm mềm và trắng da, sẽ sử dụng sản phẩm dài dài;Sản phẩm giúp làm mềm và trắng da, sẽ sử dụng sản phẩm dài dài.
11786;kem thấm nhanh và không lên tone nhé;Kem thấm nhanh và không lên tone nhé!.
11788;sản phẩm tốt có làm dài mi nha mn mà bôi ít thôi bôi nhiều sẽ làm cay mắt khó chụi;Sản phẩm tốt có làm dài mi nhanh mà bôi ít thôi, bôi nhiều
11789;chân ái cho da dầu mụn nha,mấy ngày đầu chổ nào có mụn thì nó đẩy mụn lên xong rồi da nó ổn lại nha mặt mền mịn không còn sần sùi mình chỉ dùng buổi tối thôi,còn buổi sáng chỉ dùng kcn thôi;Chân ái cho da dầu mụn nha, mấy ngày đầu chỗ nào có mụn thì
11795;dưỡng ẩm môi chỉ ở mức vừa ổn th, thấy bảo là làm hồng môi j đó thì ko thấy;Dưỡng ẩm môi chỉ ở mức vừa ổn thôi, thấy bảo là làm
11798;rửa sạch mà không hề gây khô da bao bì xinh xắn, thiết kế đầu pump tiện lợi khi sử dụng, dễ dàng điều chỉnh lượng srm sản phẩm đầy đủ tem phụ nên rất yên tâm sử dụng;Rửa sạch mà không hề gây khô da. Bao bì xinh xắ
11801;sạch sâu lại dưỡng ẩm mượt;sạch sâu lại dưỡng ẩm mượt.
11803;sp tốt, thẩm thấu nhanh;SP tốt, thẩm thấu nhanh.
11812;mặt của mình bị mụn nhiều nên phải tìm máy loại kêm cho da mụn,thì khi tim mua xài thử sun dry touch oil control spf50+ thấy khá hiệu quả.nó không lằm cho da mình lên mụn.mình khá yên tâm;Mặt của mình bị mụn nhiều nên phải tìm máy loại cho da mụn, thì
11814;bản mới tệ thực sự, da đã ngâm bôi cái này vào càng đen hơn, hiệu quả giảm bóng nhờn mình cũng chẳng thấy hiệu quả, vùng chữ t và trán đổ dầu như bình thường. pr thần thánh, bản cũ nâng tông mình thích hơn. ai mà mà da ngâm hay da hỗn hợp dầu ko hiệu quả nên mn cân nhắc. mình đọc review đánh giá nhưng thầm nghĩ mỗi người cơ địa khác nhau chắc sẽ hợp, nhưng mình đã sai (((;Bản mới tệ thực sự, da đã ngâm bôi cái này vào càng đen
11816;xài rất ok nha mấy ní, miếng dán mỏng te, siêu tệp da mà hút nhân mụn siêu đỉnh, dán 1 đêm sáng dậy là thấy hút hết nhân mụn rồi. nên mua;Xài rất ok nha mấy em, miếng dán mỏng te, siêu tệp
11827;sài ok lắm nha;Sài ok lắm nha!
11844;hương thơm, dùng giảm mụn hẳn;Hương thơm, dùng giảm mụn hẳn.
11846;đóng gói cận thận;đóng gói cận thận.
11848;xài em này không ổn tí nào, sạch sâu không hẳn nhưng nó làm gây khô da và bị bong. mng nên thử dùng màu xanh sẽ oke hơm;Xài em này không ổn tí nào, sạch sâu không hẳn nhưng nó làm
11851;mới sài thì thấy cũng ổn với da dầu mụn hơi nhạy cảm . lâu dần không biết sao. nhưng không thể chấp nhận cái mùi như mùi xà phòng vậy . dùng tẩy trang của hãng mà. cứ tưởng là lấy xà phòng đi tẩy trang không á . hết sẽ không mua lại vì cái mùi hương này;Mới sài thì thấy cũng ổn với da dầu, mụn hơi nhạy cảm
11852;hàng của vn nhưng chất lượng hơn cả hàng ngoại;Hàng của VN nhưng chất lượng hơn cả hàng ngoại.
